SNO,Protein A,Protein B,Co-Expression,Experimentally Determined Interaction,Automated Textmining,Combined Score,Disease Associated,BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Experimental System,Pubmed ID,Author
14,TARDBP,PURA,0.068,0.137,0.661,0.703,Multiple Sclerosis,913236,23435,5813,117003,111772,Affinity Capture-MS,20020773,Freibaum BD (2010)
15,RAB8A,SNCA,0.067,0.441,0.476,0.703,Parkinson's,732991,4218,6622,110382,112506,Affinity Capture-Western,15207266,Dalfo E (2004)
16,CIAO1,IREB2,0.056,0.51,0.41,0.703,Friedreich ataxia,950874,9391,3658,114791,109866,Affinity Capture-Western,23891004,Stehling O (2013)
17,BAG5,TP53,0,0.454,0.48,0.703,Parkinson's,2208453,9529,7157,114905,113010,Affinity Capture-Western,27807478,Yue X (2016)
18,MUL1,VPS35,0,0.292,0.598,0.703,Parkinson's,679072,79594,55737,122734,120855,Affinity Capture-Western,20619655,Braschi E (2010)
19,EWSR1,ILF3,0.505,0.207,0.306,0.704,Multiple Sclerosis,2644320,2130,3609,108431,109822,Affinity Capture-MS,29884807,Chi B (2018)
20,U2AF2,DHX9,0.483,0.205,0.337,0.704,Multiple Sclerosis,1525857,11338,1660,116466,108025,Affinity Capture-MS,26641092,Whisenant TC (2015)
21,SYNCRIP,U2AF2,0.431,0.308,0.308,0.704,Multiple Sclerosis,745918,10492,11338,115755,116466,Co-fractionation,22939629,Havugimana PC (2012)
22,EIF4A3,HNRNPH2,0.132,0.603,0.208,0.704,Multiple Sclerosis,811459,9775,3188,115119,109429,Affinity Capture-MS,23084401,Singh G (2012)
23,TNFRSF1A,JAK1,0.081,0.513,0.392,0.704,Amyotrophic Lateral Sclerosis (ALS),280037,7132,3716,112986,109919,Reconstituted Complex,9510175,Guo D (1998)
24,TBK1,ATG9A,0.064,0.188,0.641,0.704,Multiple Sclerosis,594250,29110,79065,118878,122518,Affinity Capture-MS,21903422,Li S (2011)
25,ARAF,HSP90AA1,0.049,0.565,0.342,0.704,Parkinson's,829246,369,3320,106864,109552,Affinity Capture-Western,22939624,Taipale M (2012)
26,PMPCB,MDH2,0.578,0.138,0.255,0.705,Friedreich ataxia,2857564,9512,4191,114889,110356,Proximity Label-MS,32877691,Antonicka H (2020)
27,CAPRIN1,DHX9,0.577,0.166,0.231,0.705,Multiple Sclerosis,3349986,4076,1660,110252,108025,Affinity Capture-MS,35271311,Cho NH (2022)
28,DHX9,RBM14,0.534,0.188,0.284,0.705,Multiple Sclerosis,3354224,1660,10432,108025,115700,Affinity Capture-MS,35271311,Cho NH (2022)
29,SFPQ,HNRNPA3,0.447,0.209,0.38,0.705,Multiple Sclerosis,1263071,6421,220988,112319,128670,Co-fractionation,26344197,Wan C (2015)
30,DDX5,SFPQ,0.266,0.05,0.611,0.705,Multiple Sclerosis,3439034,1655,6421,108021,112319,Co-fractionation,35831314,Havugimana PC (2022)
31,PSMA5,VCP,0.138,0.206,0.239,0.705,Multiple Sclerosis,3441387,5686,7415,111659,113258,Co-fractionation,35831314,Havugimana PC (2022)
32,NDUFAB1,FDX1,0.1,0.514,0.3,0.705,Friedreich ataxia,2625082,4706,2230,110786,108521,Co-fractionation,31536960,Moutaoufik MT (2019)
33,CELF1,MATR3,0.063,0.225,0.626,0.705,Multiple Sclerosis,2812543,10658,9782,115901,115126,Proximity Label-MS,29395067,Youn JY (2018)
34,NBR1,TBK1,0,0.169,0.66,0.705,Multiple Sclerosis,3306547,4077,29110,110253,118878,Proximity Label-MS,33545068,Zellner S (2021)
35,IL17RA,TYK2,0.09,0.151,0.649,0.706,Amyotrophic Lateral Sclerosis (ALS),3034218,23765,7297,117265,113148,Affinity Capture-MS,33961781,Huttlin EL (2021)
36,GOT2,ENO1,0.451,0.143,0.427,0.707,Friedreich ataxia,2628773,2806,2023,109068,108338,Co-fractionation,31536960,Moutaoufik MT (2019)
37,TOMM40,CHCHD2,0.127,0.255,0.205,0.707,Parkinson's,1259955,10452,51142,115716,119326,Co-fractionation,26344197,Wan C (2015)
38,HSPB1,MAPT,0.042,0.292,0.603,0.707,Parkinson's,2640546,3315,4137,109547,110308,Reconstituted Complex,30385828,Freilich R (2018)
39,FUNDC1,HSPA9,0,0.292,0.603,0.707,Parkinson's,2614379,139341,3313,126561,109545,Affinity Capture-MS,30591555,Li Y (2019)
40,PABPC1,DHX9,0.161,0.092,0.648,0.708,Multiple Sclerosis,3437526,26986,1660,117939,108025,Co-fractionation,35831314,Havugimana PC (2022)
41,MATR3,HNRNPA3,0.148,0.449,0.428,0.708,Multiple Sclerosis,1457965,9782,220988,115126,128670,Affinity Capture-MS,26496610,Hein MY (2015)
42,UBC,VDAC1,0.117,0.069,0.373,0.708,Multiple Sclerosis,561137,7316,7416,113164,113259,Affinity Capture-MS,16196087,Matsumoto M (2005)
43,RAF1,VDAC1,0.067,0.298,0.59,0.708,Parkinson's,246008,5894,7416,111831,113259,Affinity Capture-Western,12079506,Le Mellay V (2002)
44,YWHAH,TBC1D4,0.042,0.419,0.075,0.708,Parkinson's,3075202,7533,9882,113365,115213,Affinity Capture-MS,33961781,Huttlin EL (2021)
45,TP53,VCP,0,0.59,0.32,0.709,Parkinson's,955530,7157,7415,113010,113258,Affinity Capture-MS,23443559,Fogeron ML (2013)
46,CYLD,MAVS,0,0.51,0.431,0.709,Multiple Sclerosis,2623497,1540,57506,107920,121570,Affinity Capture-Western,30410068,Liuyu T (2019)
47,HNRNPH1,NONO,0.487,0.191,0.358,0.71,Multiple Sclerosis,3358422,3187,4841,109428,110904,Affinity Capture-MS,35271311,Cho NH (2022)
48,SFPQ,RBMX,0.455,0,0.489,0.71,Multiple Sclerosis,3440065,6421,27316,112319,118134,Co-fractionation,35831314,Havugimana PC (2022)
49,FH,ENO1,0.281,0.188,0.544,0.71,Friedreich ataxia,1261744,2271,2023,108562,108338,Co-fractionation,26344197,Wan C (2015)
50,FUS,CAPRIN1,0.111,0.43,0.474,0.71,Multiple Sclerosis,2644274,2521,4076,108797,110252,Affinity Capture-MS,29884807,Chi B (2018)
51,ACO2,RPL11,0.077,0.572,0.324,0.71,Friedreich ataxia,2471858,50,6135,106566,112055,Affinity Capture-MS,27684187,Rosenbluh J (2016)
52,MAVS,PLK1,0.042,0.449,0.495,0.71,Multiple Sclerosis,2524228,57506,5347,121570,111362,Two-hybrid,30267576,Xu SS (2019)
53,HDAC6,HSPA5,0.042,0.39,0.543,0.71,Multiple Sclerosis,534876,10013,3309,115330,109541,Affinity Capture-Western,20371724,Rao R (2010)
54,HNRNPH2,RBMX,0.135,0.254,0.341,0.711,Multiple Sclerosis,1452970,3188,27316,109429,118134,Affinity Capture-MS,26496610,Hein MY (2015)
55,SOD1,PSMD11,0.075,0.074,0.15,0.711,Multiple Sclerosis,2362444,6647,5717,112530,111689,Affinity Capture-MS,29128334,Malty RH (2017)
56,CTSD,SNCA,0.065,0.292,0.599,0.711,Parkinson's,1508231,1509,6622,107889,112506,Biochemical Activity,25617759,Lehri-Boufala S (2015)
57,CALCOCO2,ATG9A,0.047,0.143,0.675,0.711,Multiple Sclerosis,3306560,10241,79065,115535,122518,Proximity Label-MS,33545068,Zellner S (2021)
58,ENO1,HSPA9,0.137,0.21,0.609,0.712,Friedreich ataxia,1051477,2023,3313,108338,109545,Affinity Capture-RNA,22658674,Castello A (2012)
59,FUS,RALY,0.134,0.611,0.213,0.712,Multiple Sclerosis,2644240,2521,22913,108797,116575,Affinity Capture-MS,29884807,Chi B (2018)
60,SMN1,SRSF3,0.079,0.292,0.595,0.712,Multiple Sclerosis,566562,6606,6428,112490,112326,Affinity Capture-MS,19928837,Fuller HR (2010)
61,YWHAQ,TFEB,0,0.667,0.172,0.712,Parkinson's,833169,10971,7942,116168,113668,Affinity Capture-MS,23444366,Ichimura T (2013)
62,NDUFV2,SUCLG2,0.577,0.245,0.163,0.713,Friedreich ataxia,749896,4729,8801,110807,114329,Co-fractionation,22939629,Havugimana PC (2012)
63,DLAT,NDUFS2,0.346,0.494,0.202,0.713,Friedreich ataxia,1265389,1737,4720,108081,110800,Co-fractionation,26344197,Wan C (2015)
64,G3BP1,SYNCRIP,0.257,0.292,0.499,0.713,Multiple Sclerosis,2380210,10146,10492,115448,115755,Affinity Capture-MS,26777405,Jain S (2016)
65,IDH3A,UQCRC2,0.254,0.233,0.538,0.713,Friedreich ataxia,1274140,3419,7385,109645,113231,Co-fractionation,26344197,Wan C (2015)
66,CS,SOD2,0.128,0.161,0.624,0.713,Friedreich ataxia,2628399,1431,6648,107818,112531,Co-fractionation,31536960,Moutaoufik MT (2019)
67,OPTN,ATG9A,0.049,0.292,0.608,0.713,Multiple Sclerosis,2972737,10133,79065,115436,122518,Co-localization,32556086,Yamano K (2020)
68,PCBP1,SYNCRIP,0.519,0.13,0.372,0.714,Multiple Sclerosis,2473200,5093,10492,111126,115755,Affinity Capture-MS,27684187,Rosenbluh J (2016)
69,IFNA4,IFNA7,0.365,0.302,0.046,0.714,Amyotrophic Lateral Sclerosis (ALS),2217181,3441,3444,109664,109667,Affinity Capture-MS,28514442,Huttlin EL (2017)
70,MATR3,HNRNPR,0.274,0.44,0.353,0.714,Multiple Sclerosis,1450386,9782,10236,115126,115530,Affinity Capture-MS,26496610,Hein MY (2015)
71,PABPC1,HNRNPL,0.246,0.191,0.569,0.714,Multiple Sclerosis,2815345,26986,3191,117939,109432,Proximity Label-MS,29395067,Youn JY (2018)
72,IKBKG,RAB8A,0.111,0.292,0.582,0.714,Multiple Sclerosis,2486526,8517,4218,114089,110382,Reconstituted Complex,26258637,Vetter M (2015)
73,HNRNPDL,HNRNPH2,0.111,0.278,0.591,0.714,Multiple Sclerosis,747612,9987,3188,115308,109429,Co-fractionation,22939629,Havugimana PC (2012)
74,PDHA1,NDUFA10,0.55,0.191,0.27,0.715,Friedreich ataxia,2999191,5160,4705,111186,110785,Proximity Label-MS,34079125,Go CD (2021)
75,CPSF6,SNRNP70,0.458,0.321,0.287,0.715,Multiple Sclerosis,3352529,11052,6625,116238,112509,Affinity Capture-MS,35271311,Cho NH (2022)
76,HNRNPC,ZNF326,0.431,0.319,0.324,0.715,Multiple Sclerosis,3065659,3183,284695,109424,129936,Affinity Capture-MS,33961781,Huttlin EL (2021)
77,OPTN,TRADD,0.049,0.292,0.255,0.715,Multiple Sclerosis,729981,10133,8717,115436,114257,Affinity Capture-Western,17702576,Zhu G (2007)
78,SNRNP70,KHDRBS1,0.462,0.271,0.333,0.716,Multiple Sclerosis,2638825,6625,10657,112509,115900,Affinity Capture-MS,29802200,Bishof I (2018)
79,MFN2,NBR1,0.115,0.095,0.674,0.716,Multiple Sclerosis,2853918,9927,4077,115255,110253,Proximity Label-MS,32877691,Antonicka H (2020)
80,RBM14,HNRNPH3,0.513,0.19,0.34,0.717,Multiple Sclerosis,3366303,10432,3189,115700,109430,Affinity Capture-MS,35271311,Cho NH (2022)
81,MAP1LC3B,ATG101,0.096,0.292,0.593,0.717,Multiple Sclerosis,2746438,81631,60673,123565,121948,Affinity Capture-Western,24290141,Suzuki H (2014)
82,HNRNPA1,PURA,0.056,0.174,0.666,0.717,Multiple Sclerosis,425119,3178,5813,109420,111772,Affinity Capture-MS,17643375,Jeronimo C (2007)
83,ABL1,YWHAE,0.068,0.661,0.178,0.718,Parkinson's,1023544,25,7531,106543,113363,Affinity Capture-MS,15696159,Yoshida K (2005)
84,MATR3,RALY,0.056,0.234,0.641,0.718,Multiple Sclerosis,1451600,9782,22913,115126,116575,Affinity Capture-MS,26496610,Hein MY (2015)
85,MDM4,YWHAH,0,0.525,0.43,0.718,Parkinson's,2572077,4194,7533,110359,113365,Affinity Capture-MS,29523541,Li D (2018)
86,SSB,U2AF1,0.667,0.191,0,0.719,Multiple Sclerosis,3372189,6741,7307,112619,113157,Affinity Capture-MS,35271311,Cho NH (2022)
87,HNRNPR,PABPC1,0.249,0.372,0.453,0.719,Multiple Sclerosis,744444,10236,26986,115530,117939,Co-fractionation,22939629,Havugimana PC (2012)
88,PINK1,RB1CC1,0.056,0.292,0.613,0.719,Multiple Sclerosis,882780,65018,9821,122376,115160,Affinity Capture-MS,23885119,Murata H (2013)
89,ILF3,SNRNP70,0.552,0.329,0.145,0.72,Multiple Sclerosis,745777,3609,6625,109822,112509,Co-fractionation,22939629,Havugimana PC (2012)
90,PABPC1,TIAL1,0.162,0.26,0.553,0.72,Multiple Sclerosis,2819363,26986,7073,117939,112929,Proximity Label-MS,29395067,Youn JY (2018)
91,HTT,PSMD2,0.067,0.137,0.125,0.72,Multiple Sclerosis,2690747,3064,5708,109314,111681,Affinity Capture-MS,25959826,Hosp F (2015)
92,SNCA,HSPA9,0.059,0.18,0.666,0.72,Parkinson's,2781582,6622,3313,112506,109545,Affinity Capture-MS,31980649,Kennedy SA (2020)
93,TAF15,SNRPD3,0.658,0.211,0.051,0.721,Multiple Sclerosis,2644124,8148,6634,113807,112518,Affinity Capture-MS,29884807,Chi B (2018)
94,SFPQ,SYNCRIP,0.423,0.219,0.43,0.721,Multiple Sclerosis,2249564,6421,10492,112319,115755,Affinity Capture-MS,28514442,Huttlin EL (2017)
95,CD274,ARG1,0.055,0,0.717,0.721,Amyotrophic Lateral Sclerosis (ALS),2972035,29126,383,118891,106878,Affinity Capture-MS,32941674,Meng F (2020)
96,YAP1,TP53,0,0,0.721,0.721,Parkinson's,2753288,10413,7157,115684,113010,Affinity Capture-MS,31501420,Liu Y (2019)
97,RBM14,SYNCRIP,0.641,0.185,0.127,0.722,Multiple Sclerosis,3366286,10432,10492,115700,115755,Affinity Capture-MS,35271311,Cho NH (2022)
98,RBM14,HNRNPU,0.534,0.187,0.326,0.722,Multiple Sclerosis,3366325,10432,3192,115700,109433,Affinity Capture-MS,35271311,Cho NH (2022)
99,SOD1,PSMC2,0.181,0.08,0.073,0.722,Multiple Sclerosis,2362357,6647,5701,112530,111674,Affinity Capture-MS,29128334,Malty RH (2017)
100,IRAK1,STAT1,0.088,0.332,0.58,0.722,Amyotrophic Lateral Sclerosis (ALS),721304,3654,6772,109863,112649,Affinity Capture-Western,12856330,Nguyen H (2003)
101,TOMM40,HSP90AA1,0.085,0.292,0.605,0.722,Parkinson's,903832,10452,3320,115716,109552,Reconstituted Complex,15644312,Humphries AD (2005)
102,OSBPL11,VAPA,0.078,0.492,0.454,0.722,Multiple Sclerosis,3362151,114885,9218,125386,114651,Affinity Capture-MS,35271311,Cho NH (2022)
103,ABL1,BCL2L1,0.055,0.292,0.618,0.722,Parkinson's,1103469,25,598,106543,107070,Affinity Capture-Western,16631755,Lasfer M (2006)
104,ABL1,HSPA4,0,0.537,0.425,0.722,Parkinson's,503129,25,3308,106543,109540,Affinity Capture-Western,15937340,Bali P (2005)
105,SYNCRIP,U2AF1,0.406,0.205,0.461,0.723,Multiple Sclerosis,745524,10492,7307,115755,113157,Co-fractionation,22939629,Havugimana PC (2012)
106,BIRC2,OPTN,0.216,0.225,0.197,0.723,Multiple Sclerosis,2603839,329,10133,106826,115436,Affinity Capture-MS,30561431,Van Quickelberghe E (2018)
107,ENO1,ACO2,0.135,0.192,0.636,0.723,Friedreich ataxia,2628560,2023,50,108338,106566,Co-fractionation,31536960,Moutaoufik MT (2019)
108,ALDH2,FH,0.074,0.214,0.53,0.723,Friedreich ataxia,2627863,217,2271,106719,108562,Co-fractionation,31536960,Moutaoufik MT (2019)
109,CS,NDUFV1,0.391,0.088,0.537,0.724,Friedreich ataxia,2850026,1431,4723,107818,110802,Proximity Label-MS,32877691,Antonicka H (2020)
110,HSCB,NUBPL,0.149,0.292,0.579,0.724,Friedreich ataxia,2812178,150274,80224,127276,123190,Affinity Capture-MS,28380382,Maio N (2017)
111,YWHAB,TBC1D4,0.042,0.37,0.195,0.724,Parkinson's,914137,7529,9882,113361,115213,Affinity Capture-MS,24255178,Couzens AL (2013)
112,ILF3,HNRNPA3,0.478,0.371,0.228,0.725,Multiple Sclerosis,2819113,3609,220988,109822,128670,Proximity Label-MS,29395067,Youn JY (2018)
113,PCBP1,U2AF2,0.43,0.239,0.416,0.725,Multiple Sclerosis,2471490,5093,11338,111126,116466,Affinity Capture-MS,27684187,Rosenbluh J (2016)
114,PSMD12,UBQLN2,0.123,0.49,0.434,0.725,Multiple Sclerosis,3364751,5718,29978,111690,119006,Affinity Capture-MS,35271311,Cho NH (2022)
115,MAP1LC3B,SNCA,0.06,0.512,0.45,0.725,Parkinson's,3217882,81631,6622,123565,112506,Reconstituted Complex,34084775,Lehotzky A (2021)
116,PINK1,HSPA9,0,0.079,0.714,0.725,Parkinson's,2752455,65018,3313,122376,109545,Affinity Capture-MS,31300519,Guardia-Laguarta C (2019)
117,NFKBIA,SOCS3,0.27,0.292,0.512,0.726,Amyotrophic Lateral Sclerosis (ALS),718394,4792,9021,110859,114488,Affinity Capture-Western,21451109,Nair S (2011)
118,VCP,YWHAE,0.222,0.186,0.601,0.726,Parkinson's,817171,7415,7531,113258,113363,Affinity Capture-MS,23383273,Yu CC (2013)
119,NFKBIA,BIRC2,0.098,0.196,0.652,0.726,Multiple Sclerosis,1184021,4792,329,110859,106826,Affinity Capture-MS,26186194,Huttlin EL (2015)
120,DNM1L,PARK7,0.049,0.081,0.711,0.726,Parkinson's,2361592,10059,11315,115370,116446,Affinity Capture-MS,29128334,Malty RH (2017)
121,HNRNPU,ALYREF,0.535,0.174,0.346,0.727,Multiple Sclerosis,1450313,3192,10189,109433,115486,Affinity Capture-MS,26496610,Hein MY (2015)
122,HNRNPU,RALY,0.253,0.213,0.573,0.727,Multiple Sclerosis,745260,3192,22913,109433,116575,Co-fractionation,22939629,Havugimana PC (2012)
123,IDH1,TALDO1,0.185,0.162,0.632,0.727,Friedreich ataxia,925909,3417,6888,109643,112751,Co-fractionation,22863883,Kristensen AR (2012)
124,UQCRFS1,HSPA9,0.134,0.292,0.591,0.727,Friedreich ataxia,2812187,7386,3313,113232,109545,Affinity Capture-Western,28380382,Maio N (2017)
125,NDUFB8,TOMM40,0.124,0.329,0.18,0.727,Friedreich ataxia,2629424,4714,10452,110794,115716,Co-fractionation,31536960,Moutaoufik MT (2019)
126,EIF4G1,ATXN2,0.058,0.096,0.705,0.727,Parkinson's,3448694,1981,6311,108296,112218,Co-fractionation,35831314,Havugimana PC (2022)
127,MUL1,DNM1L,0,0.314,0.618,0.727,Parkinson's,682015,79594,10059,122734,115370,Biochemical Activity,19407830,Braschi E (2009)
128,EWSR1,SRSF3,0.502,0.329,0.251,0.728,Multiple Sclerosis,1428280,2130,6428,108431,112326,Proximity Label-MS,24999758,Elzi DJ (2014)
129,HTRA2,OPA1,0.056,0.257,0.643,0.728,Parkinson's,754212,27429,4976,118165,111024,Co-fractionation,22939629,Havugimana PC (2012)
130,CPSF6,HNRNPL,0.627,0.167,0.198,0.729,Multiple Sclerosis,3352495,11052,3191,116238,109432,Affinity Capture-MS,35271311,Cho NH (2022)
131,ELAVL1,EWSR1,0.482,0.231,0.374,0.729,Multiple Sclerosis,663128,1994,2130,108309,108431,Affinity Capture-RNA,19322201,Abdelmohsen K (2009)
132,DDX5,TARDBP,0.19,0.222,0.603,0.729,Multiple Sclerosis,3439072,1655,23435,108021,117003,Co-fractionation,35831314,Havugimana PC (2022)
133,PMPCB,HSPA9,0.156,0.11,0.469,0.729,Friedreich ataxia,2857554,9512,3313,114889,109545,Proximity Label-MS,32877691,Antonicka H (2020)
134,NDUFS3,PDHA1,0.278,0.19,0.573,0.73,Friedreich ataxia,2625860,4722,5160,110801,111186,Co-fractionation,31536960,Moutaoufik MT (2019)
135,OPTN,RNF31,0.042,0.226,0.358,0.73,Multiple Sclerosis,2766141,10133,55072,115436,120389,Proximity Label-MS,31723608,Heo JM (2019)
136,PTBP1,CPSF6,0.646,0,0.27,0.731,Multiple Sclerosis,3441033,5725,11052,111697,116238,Co-fractionation,35831314,Havugimana PC (2022)
137,PABPC1,HNRNPH1,0.247,0.054,0.655,0.732,Multiple Sclerosis,3437491,26986,3187,117939,109428,Co-fractionation,35831314,Havugimana PC (2022)
138,CELF1,PCBP1,0.216,0.232,0.59,0.732,Multiple Sclerosis,2812570,10658,5093,115901,111126,Proximity Label-MS,29395067,Youn JY (2018)
139,AGRN,APOE,0.093,0.292,0.266,0.732,Parkinson's,2618710,375790,348,132000,106845,Affinity Capture-MS,29872149,Rivera C (2018)
140,LRRK2,MAP1B,0,0.638,0.29,0.732,Parkinson's,722847,120892,4131,125700,110304,Affinity Capture-Western,21159966,Lee S (2010)
141,ATXN1,U2AF2,0.069,0.36,0.588,0.733,Multiple Sclerosis,720518,6310,11338,112217,116466,Two-hybrid,16713569,Lim J (2006)
142,RB1CC1,VAPA,0.058,0.421,0.551,0.733,Multiple Sclerosis,3320668,9821,9218,115160,114651,Affinity Capture-MS,34226595,Schluetermann D (2021)
143,FAF1,VAPB,0.049,0.428,0.549,0.733,Multiple Sclerosis,948162,11124,9217,116298,114650,Affinity Capture-MS,24885147,Baron Y (2014)
144,ATXN1,HSPA4,0.042,0.292,0.639,0.733,Parkinson's,673963,6310,3308,112217,109540,Affinity Capture-Western,17127076,Choi JY (2007)
145,HSPD1,PMPCB,0.168,0.257,0.369,0.734,Friedreich ataxia,2559076,3329,9512,109561,114889,Proximity Label-MS,29568061,Liu X (2018)
146,VAPB,WDR44,0.085,0.596,0.338,0.734,Multiple Sclerosis,948202,9217,54521,114650,120014,Affinity Capture-MS,24885147,Baron Y (2014)
147,VAPA,WDR44,0.048,0.575,0.394,0.734,Multiple Sclerosis,948205,9218,54521,114651,120014,Affinity Capture-MS,24885147,Baron Y (2014)
148,TNFRSF1A,UBC,0,0.427,0.149,0.734,Multiple Sclerosis,2208052,7132,7316,112986,113164,Affinity Capture-Western,27552911,Nakazawa S (2016)
149,ELAVL1,HNRNPR,0.672,0.166,0.108,0.735,Multiple Sclerosis,2813531,1994,10236,108309,115530,Proximity Label-MS,29395067,Youn JY (2018)
150,CPSF6,HNRNPC,0.516,0.165,0.397,0.735,Multiple Sclerosis,3352528,11052,3183,116238,109424,Affinity Capture-MS,35271311,Cho NH (2022)
151,MAP2K1,YWHAH,0.187,0.648,0.147,0.735,Parkinson's,2778989,5604,7533,111590,113365,Affinity Capture-MS,31980649,Kennedy SA (2020)
152,HSP90AB1,YWHAQ,0.176,0.177,0.64,0.735,Parkinson's,3435913,3326,10971,109558,116168,Co-fractionation,35831314,Havugimana PC (2022)
153,HSPA8,YWHAE,0.163,0.18,0.644,0.735,Parkinson's,3479885,3312,7531,109544,113363,Affinity Capture-MS,32687490,Ryu SW (2020)
154,PDHA1,SUCLA2,0.153,0.18,0.611,0.735,Friedreich ataxia,2999262,5160,8803,111186,114331,Proximity Label-MS,34079125,Go CD (2021)
155,MAP1LC3B,VCP,0.069,0.571,0.389,0.735,Parkinson's,2527807,81631,7415,123565,113258,Affinity Capture-Western,27561680,Guo X (2016)
156,TP53,CSNK1E,0.044,0.387,0.585,0.735,Parkinson's,1505036,7157,1454,113010,107838,Co-localization,25241761,Chen TC (2014)
157,CPSF6,SRSF9,0.178,0.211,0.282,0.736,Multiple Sclerosis,3352387,11052,8683,116238,114231,Affinity Capture-MS,35271311,Cho NH (2022)
158,SOD1,PSMC1,0.11,0.125,0.145,0.736,Multiple Sclerosis,2362445,6647,5700,112530,111673,Affinity Capture-MS,29128334,Malty RH (2017)
159,EWSR1,KHDRBS1,0.424,0.329,0.374,0.737,Multiple Sclerosis,1428492,2130,10657,108431,115900,Proximity Label-MS,24999758,Elzi DJ (2014)
160,HNRNPL,RALY,0.382,0.464,0.268,0.737,Multiple Sclerosis,2398131,3191,22913,109432,116575,Affinity Capture-RNA,28611215,Fei T (2017)
161,CS,NDUFS1,0.329,0.203,0.542,0.737,Friedreich ataxia,2850019,1431,4719,107818,110799,Proximity Label-MS,32877691,Antonicka H (2020)
162,CELF1,HNRNPL,0.256,0.192,0.598,0.737,Multiple Sclerosis,2812529,10658,3191,115901,109432,Proximity Label-MS,29395067,Youn JY (2018)
163,SFN,YWHAE,0.124,0.423,0.067,0.737,Parkinson's,3442161,2810,7531,109072,113363,Co-fractionation,35831314,Havugimana PC (2022)
164,ABL1,YWHAZ,0.067,0.661,0.235,0.737,Parkinson's,1023545,25,7534,106543,113366,Affinity Capture-MS,15696159,Yoshida K (2005)
165,MFN2,LRRK2,0.054,0.292,0.639,0.737,Parkinson's,2655785,9927,120892,115255,125700,Affinity Capture-Western,24282027,Stafa K (2014)
166,PARK7,SQSTM1,0.054,0.292,0.64,0.737,Parkinson's,2497844,11315,8878,116446,114397,Affinity Capture-Western,29976090,Lee DH (2018)
167,RBM14,ILF3,0.647,0.166,0.181,0.738,Multiple Sclerosis,3366365,10432,3609,115700,109822,Affinity Capture-MS,35271311,Cho NH (2022)
168,SAFB,TAF15,0.432,0.437,0.248,0.738,Multiple Sclerosis,251993,6294,8148,112201,113807,Reconstituted Complex,15066997,Townson SM (2004)
169,MDH2,ALDH2,0.064,0.113,0.686,0.738,Friedreich ataxia,2853162,4191,217,110356,106719,Proximity Label-MS,32877691,Antonicka H (2020)
170,LRRK2,TP53,0.051,0.625,0.325,0.738,Parkinson's,2205110,120892,7157,125700,113010,Biochemical Activity,26384650,Ho DH (2015)
