SNO,Protein A,Protein B,UniProtID A,UniProtID B,PDB ID A,PDB ID B
11,TNFRSF1A,JAK1,Q15628,P23458,"1F2H, 1F3V, 5XME, 6AC0, 7CSQ","3EYG, 3EYH, 4E4L, 4E4N, 4E5W, 4EHZ, 4EI4, 4FK6, 4GS0, 4I5C, 4IVB, 4IVC, 4IVD, 4K6Z, 4K77, 4L00, 4L01, 5E1E, 5HX8, 5IXD, 5IXI, 5KHW, 5KHX, 5L04, 5WO4, 6AAH, 6BBU, 6C7Y, 6DBN, 6ELR, 6GGH, 6HZU, 6N77, 6N78, 6N79, 6N7A, 6N7B, 6N7C, 6N7D, 6RSB, 6RSC, 6RSD, 6RSE, 6RSH, 6SM8, 6SMB, 6TPE, 6TPF, 6W8L, 8EXJ, 8S85"
12,NDUFAB1,FDX1,O14561,P10109,"2DNW, 5OOL, 5OOM, 5XTB, 5XTC, 5XTD, 5XTH, 5XTI, 6ODD, 7A5H, 7A5J, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF5, 7OF7, 7OI6, 7OI7, 7OI8, 7OI9, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 8K2B, 8PK0, 8QSJ, 8QU5","3N9Y, 3N9Z, 3NA0, 3NA1, 3P1M, 7M8I"
13,NBR1,TBK1,Q9SB64,Q9WUN2,"6TGN, 6TGP, 6TGS","4JL9, 4JLC, 6O8C"
14,IL17RA,TYK2,Q96F46,P29597,"3JVF, 4HSA, 4NUX, 5N9B, 5NAN, 7UWL, 7UWM, 7UWN, 7ZAN","3LXN, 3LXP, 3NYX, 3NZ0, 3ZON, 4GFO, 4GIH, 4GII, 4GJ2, 4GJ3, 4GVJ, 4OLI, 4PO6, 4PY1, 4WOV, 5C01, 5C03, 5F1Z, 5F20, 5TKD, 5WAL, 6AAM, 6DBK, 6DBM, 6NSL, 6NZE, 6NZF, 6NZH, 6NZP, 6NZQ, 6NZR, 6OVA, 6VNS, 6VNV, 6VNX, 6VNY, 6X8F, 6X8G, 7AX4, 7K7O, 7K7Q, 7UYR, 7UYS, 7UYT, 7UYU, 8EXN, 8EYC, 8S98, 8S99, 8S9A, 8TB5, 8TB6"
15,FUNDC1,HSPA9,Q8IVP5,P38646,"2N9X, 5GMV","3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
16,YWHAH,TBC1D4,Q04917,O60343,"2C63, 2C74, 7NMZ","3QYB, 7NIX"
17,CYLD,MAVS,Q9NQC7,Q8VCF0,"1IXD, 1WHL, 1WHM, 2VHF, 7OWC, 7OWD",4GHU
18,MAVS,PLK1,Q8VCF0,P53350,4GHU,"1Q4K, 1Q4O, 1UMW, 2OGQ, 2OJX, 2OU7, 2OWB, 2RKU, 2V5Q, 2YAC, 3BZI, 3C5L, 3FC2, 3FVH, 3HIH, 3HIK, 3KB7, 3P2W, 3P2Z, 3P34, 3P35, 3P36, 3P37, 3Q1I, 3RQ7, 3THB, 4A4L, 4A4O, 4DFW, 4E67, 4E9C, 4E9D, 4H5X, 4H71, 4HAB, 4HCO, 4HY2, 4J52, 4J53, 4LKL, 4LKM, 4O56, 4O6W, 4O9W, 4RCP, 4WHH, 4WHK, 4WHL, 4X9R, 4X9V, 4X9W, 5J19, 5NEI, 5NFU, 5NJE, 5NMM, 5NN1, 5NN2, 5TA6, 5TA8, 6AX4, 6GY2, 7MSO, 7MX1, 8BJT, 8CRC, 8JOQ, 8JOY, 8S30, 8S31, 8WFP, 8X72, 8XB9"
19,SOD1,PSMD11,P15107,O00231,1XSO,"5GJQ, 5GJR, 5L4K, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q"
20,NDUFV2,SUCLG2,P19404,Q96I99,"5XTB, 5XTD, 5XTH, 5XTI","6WCV, 7MSR, 7MSS, 7MST, 8Z02, 8Z03"
21,G3BP1,SYNCRIP,Q13283,O60506,"3Q90, 4FCJ, 4FCM, 4IIA, 5FW5, 6TA7, 7S17, 7SUO, 7XHF, 7XHG, 8TH1, 8TH5, 8TH6, 8TH7, 8V1L","2DGU, 2MXT, 2NBB, 6KOR"
22,CS,SOD2,A0A2P1GIW2,P04179,6RT8,"1AP5, 1AP6, 1EM1, 1JA8, 1LUV, 1LUW, 1MSD, 1N0J, 1N0N, 1PL4, 1PM9, 1QNM, 1SZX, 1VAR, 1XDC, 1XIL, 1ZSP, 1ZTE, 1ZUQ, 2ADP, 2ADQ, 2GDS, 2P4K, 2QKA, 2QKC, 3C3S, 3C3T, 5GXO, 5T30, 5VF9, 7KKS, 7KKU, 7KKW, 7KLB, 8SKS, 8VHW, 8VHY, 8VJ0, 8VJ4, 8VJ5, 8VJ8"
23,PABPC1,HNRNPL,P11940,Q8R081,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO","3S01, 3TYT"
24,HNRNPDL,HNRNPH2,O14979,P55795,7ZIR,"1WEZ, 1WG5, 6DG1, 8SGH"
25,PDHA1,NDUFA10,P08559,O95299,"1NI4, 2OZL, 3EXE, 3EXF, 3EXG, 3EXH, 3EXI, 6CER, 6CFO","5XTC, 5XTD, 5XTH, 5XTI"
26,SNRNP70,KHDRBS1,P08621,Q07666,"2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08","2XA6, 3QHE, 7Z89, 7Z8A, 7Z9A, 7Z9B, 7ZAB, 7ZAC, 7ZAF, 7ZAM"
27,MFN2,NBR1,O95140,Q9SB64,"6JFK, 6JFL, 6JFM","6TGN, 6TGP, 6TGS"
28,MAP1LC3B,ATG101,Q9GZQ8,Q9BSB4,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6","4WZG, 5C50, 5XUY, 5XV1, 5XV3, 5XV4, 5XV6, 8DO8"
29,HNRNPA1,PURA,P09651,Q00577,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL","8CHT, 8CHU, 8CHV, 8CHW"
30,ABL1,YWHAE,P00520,P62258,"1ABO, 1ABQ, 1FPU, 1IEP, 1M52, 1OPJ, 1OPK, 2HZN, 2QOH, 2Z60, 3DK3, 3DK6, 3DK7, 3IK3, 3K5V, 3KF4, 3KFA, 3MS9, 3MSS, 3OXZ, 3OY3, 5IH2, 6HD4, 6HD6","2BR9, 3UAL, 3UBW, 6EIH, 7C8E, 7V9B, 8DGM, 8DGN, 8DGP, 8DP5, 8Q1S"
31,MDM4,YWHAH,O15151,Q04917,"2CR8, 2MWY, 2N06, 2N0U, 2N0W, 2N14, 2VJE, 2VJF, 2VYR, 3DAB, 3EQY, 3FDO, 3FE7, 3FEA, 3JZO, 3JZP, 3JZQ, 3LBJ, 3MQR, 3U15, 4RXZ, 5MNJ, 5UML, 5VK1, 6Q9Q, 6Q9S, 6Q9U, 6Q9W, 6Q9Y, 6YR5, 6YR7, 7C3Q, 7C3Y, 7C44, 7EL4, 7KJN, 7MLA, 8HDG, 8IA5","2C63, 2C74, 7NMZ"
32,SSB,U2AF1,P0AGE0,Q01081,"1EQQ, 1EYG, 1KAW, 1QVC, 1SRU, 3C94, 3Q8D, 3SXU, 3UF7, 4MZ9, 4Z0U, 8TG7, 8TG8, 8TGC",1JMT
33,HNRNPR,PABPC1,O43390,P11940,2DK2,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO"
34,ILF3,SNRNP70,Q9Z1X4,P08621,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7","2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08"
35,PABPC1,TIAL1,P11940,Q01085,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO","1X4G, 2CQI, 2DH7"
36,HTT,PSMD2,P42858,Q13200,"2LD0, 2LD2, 3IO4, 3IO6, 3IOR, 3IOT, 3IOU, 3IOV, 3IOW, 3LRH, 4FE8, 4FEB, 4FEC, 4FED, 4RAV, 6EZ8, 6N8C, 6RMH, 6X9O, 6YEJ, 7DXJ, 7DXK, 8R2O, 8SAH, 8VLX, 8W15","5GJQ, 5GJR, 5L4K, 5LN3, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VHF, 5VHH, 5VHI, 5VHJ, 5VHM, 5VHN, 5VHO, 5VHP, 5VHQ, 5VHR, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7UIH, 7UJD, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 8USD, 9E8G, 9E8H, 9E8I, 9E8J, 9E8L, 9E8N, 9E8O, 9E8Q"
37,CD274,ARG1,Q9NZQ7,P05089,"3BIK, 3BIS, 3FN3, 3SBW, 4Z18, 4ZQK, 5C3T, 5GGT, 5GRJ, 5IUS, 5J89, 5J8O, 5JDR, 5JDS, 5N2D, 5N2F, 5NIU, 5O45, 5O4Y, 5X8L, 5X8M, 5XJ4, 5XXY, 6L8R, 6NM7, 6NM8, 6NNV, 6NOJ, 6NOS, 6NP9, 6PV9, 6R3K, 6RPG, 6VQN, 6YCR, 7BEA, 7C88, 7CZD, 7DCV, 7DY7, 7NLD, 7OUN, 7SJQ, 7TPS, 7UX5, 7UXO, 7UXP, 7UXQ, 7VUN, 7XAD, 7XAE, 7XYQ, 7YDS, 8ALX, 8AOK, 8AOM, 8JBA, 8K5N, 8OR1, 8P1O, 8P64, 8R6Q, 8RPB, 8XR5, 9EO0, 9ERY","1WVA, 1WVB, 2AEB, 2PHA, 2PHO, 2PLL, 2ZAV, 3DJ8, 3E6K, 3E6V, 3F80, 3GMZ, 3GN0, 3KV2, 3LP4, 3LP7, 3MFV, 3MFW, 3MJL, 3SJT, 3SKK, 3TF3, 3TH7, 3THE, 3THH, 3THJ, 4FCI, 4FCK, 4GSM, 4GSV, 4GSZ, 4GWC, 4GWD, 4HWW, 4HXQ, 4IE1, 6Q92, 6Q9P, 6QAF, 6V7C, 6V7D, 6V7E, 6V7F, 7K4G, 7K4H, 7K4I, 7K4J, 7K4K, 7KLK, 7KLL, 7KLM, 7LEX, 7LEY, 7LEZ, 7LF0, 7LF1, 7LF2, 8AUP, 8E5M, 8E5N"
38,SOD1,PSMC2,P15107,P35998,1XSO,"5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHJ, 5VHM, 5VHN, 5VHO, 5VHP, 5VHQ, 5VHR, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 8USD, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q"
39,OSBPL11,VAPA,Q9BXB4,Q9P0L0,2D9X,"2RR3, 6TQR"
40,ABL1,BCL2L1,P00520,Q07817,"1ABO, 1ABQ, 1FPU, 1IEP, 1M52, 1OPJ, 1OPK, 2HZN, 2QOH, 2Z60, 3DK3, 3DK6, 3DK7, 3IK3, 3K5V, 3KF4, 3KFA, 3MS9, 3MSS, 3OXZ, 3OY3, 5IH2, 6HD4, 6HD6","1BXL, 1G5J, 1LXL, 1MAZ, 1R2D, 1R2E, 1R2G, 1R2H, 1R2I, 1YSG, 1YSI, 1YSN, 2B48, 2LP8, 2LPC, 2M03, 2M04, 2ME8, 2ME9, 2MEJ, 2O1Y, 2O2M, 2O2N, 2P1L, 2PON, 2YJ1, 2YQ6, 2YQ7, 2YXJ, 3CVA, 3FDL, 3FDM, 3INQ, 3IO8, 3PL7, 3QKD, 3R85, 3SP7, 3SPF, 3WIZ, 3ZK6, 3ZLN, 3ZLO, 3ZLR, 4A1U, 4A1W, 4AQ3, 4BPK, 4C52, 4C5D, 4CIN, 4EHR, 4HNJ, 4IEH, 4PPI, 4QVE, 4QVF, 4QVX, 4TUH, 4Z9V, 5AGW, 5AGX, 5B1Z, 5C3G, 5FMJ, 5FMK, 5VAY, 5VX3, 6BF2, 6DCN, 6DCO, 6F46, 6GL8, 6HJL, 6IJQ, 6LHD, 6O0K, 6O0L, 6O0M, 6O0O, 6O0P, 6QG8, 6QGG, 6QGH, 6QGJ, 6QGK, 6RNU, 6ST2, 6UVC, 6UVD, 6UVE, 6UVF, 6UVG, 6UVH, 6VWC, 6X7I, 6YLI, 6ZHC, 7CA4, 7JGV, 7JGW, 7LH7, 7XGF, 7XGG, 7Y8D, 7YAA, 7YB7, 8FY0, 8IQK, 8IQL, 8U27, 8VWX, 8VWZ, 8VXM, 8VXN, 8WLS, 8XP5, 8ZEB, 9AQZ"
41,SYNCRIP,U2AF1,O60506,Q01081,"2DGU, 2MXT, 2NBB, 6KOR",1JMT
42,ALDH2,FH,P05091,P07954,"1CW3, 1NZW, 1NZX, 1NZZ, 1O00, 1O01, 1O02, 1O04, 1O05, 1ZUM, 2ONM, 2ONN, 2ONO, 2ONP, 2VLE, 3INJ, 3INL, 3N80, 3N81, 3N82, 3N83, 3SZ9, 4FQF, 4FR8, 4KWF, 4KWG, 5L13, 8DR9, 8SHS","3E04, 5D6B, 5UPP, 6EBT, 6V8F, 6VBE, 7LUB"
43,CS,NDUFV1,A0A2P1GIW2,Q91YT0,6RT8,"6G2J, 6G72, 6ZR2, 6ZTQ, 7AK5, 7AK6, 7B93, 7PSA, 8C2S, 8CA3, 8CA4, 8CA5, 8IAO, 8IAP, 8IB4, 8IB5, 8IB9, 8IBA, 8IBD, 8IBE, 8IC2, 8IC3, 8OLT, 8OM1, 8PW5, 8PW6, 8PW7, 8RGP, 8RGQ, 8RGR, 8RGT, 8UCA, 8XNL, 8XNM, 8XNN, 8XNO, 8XNP, 8XNQ, 8XNR, 8XNS, 8XNT, 8XNU, 8XNV, 8XNW, 8XNX, 8XNY, 8XNZ, 8XO0"
44,YWHAB,TBC1D4,P31946,O60343,"2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH","3QYB, 7NIX"
45,PSMD12,UBQLN2,O00232,Q9UHD9,"5GJQ, 5GJR, 5L4K, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q","1J8C, 2NBV, 6MUN, 7F7X"
46,IDH1,TALDO1,B7G620,Q93092,6LKZ,"2CWN, 2E1D"
47,UQCRFS1,HSPA9,P47985,P38646,"5XTE, 5XTH, 5XTI","3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
48,NDUFB8,TOMM40,O95169,O96008,"5XTC, 5XTD, 5XTH, 5XTI","7CK6, 7CP9, 7VBY, 7VC4, 7VD2, 7VDD, 8XVA"
49,NDUFS3,PDHA1,O75489,P08559,"5XTB, 5XTD, 5XTH, 5XTI","1NI4, 2OZL, 3EXE, 3EXF, 3EXG, 3EXH, 3EXI, 6CER, 6CFO"
50,OPTN,RNF31,Q8K3K8,Q96EP0,5WQ4,"2CT7, 4DBG, 4JUY, 4LJO, 4LJP, 4LJQ, 4OWF, 4OYJ, 4OYK, 4P09, 4P0A, 4P0B, 5EDV, 5LJN, 5X0W, 6GZY, 6KC5, 6KC6, 6SC5, 6SC6, 6SC7, 6SC8, 6SC9, 7TV4, 7UY2, 7UYJ, 7UYK, 7V8F, 7V8G, 8Z30, 8Z36, 9AZJ, 9B0B, 9B0Z, 9B12"
51,PABPC1,HNRNPH1,P11940,P31943,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO","2LXU, 6DHS, 7ZUG"
52,ATXN1,U2AF2,P54253,P26368,"1OA8, 2M41, 4APT, 4AQP, 4J2J, 4J2L, 6QIU","1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
53,RB1CC1,VAPA,Q8TDY2,Q9P0L0,"6DCE, 6GMA, 7CZG, 7CZM, 7D0E, 7EA2, 7EAA, 8SOI, 8SQZ, 8SRM, 8W6B, 8YFK, 8YFL, 8YFM, 8YFN, 9C82, 9D34","2RR3, 6TQR"
